
================================================================================
FAST MODBUS RTU SCAN
================================================================================

FUNCTION CODE 3

FC=3  REG=860   RAW=10     BIN=0000000000001010
FC=3  REG=861   RAW=10     BIN=0000000000001010
FC=3  REG=862   RAW=3      BIN=0000000000000011
FC=3  REG=863   RAW=290    BIN=0000000100100010
FC=3  REG=1024  RAW=16612  BIN=0100000011100100
FC=3  REG=1025  RAW=768    BIN=0000001100000000
FC=3  REG=1026  RAW=51460  BIN=1100100100000100
FC=3  REG=1027  RAW=2      BIN=0000000000000010
FC=3  REG=1028  RAW=577    BIN=0000001001000001
FC=3  REG=1029  RAW=4146   BIN=0001000000110010
FC=3  REG=1030  RAW=4081   BIN=0000111111110001
FC=3  REG=1031  RAW=5120   BIN=0001010000000000
FC=3  REG=1032  RAW=0      BIN=0000000000000000
FC=3  REG=1033  RAW=0      BIN=0000000000000000
FC=3  REG=1034  RAW=256    BIN=0000000100000000
FC=3  REG=1035  RAW=25650  BIN=0110010000110010
FC=3  REG=1036  RAW=15     BIN=0000000000001111
FC=3  REG=1037  RAW=7680   BIN=0001111000000000
FC=3  REG=1038  RAW=1551   BIN=0000011000001111
FC=3  REG=1039  RAW=0      BIN=0000000000000000
FC=3  REG=1040  RAW=7682   BIN=0001111000000010
FC=3  REG=1041  RAW=10     BIN=0000000000001010
FC=3  REG=1042  RAW=2580   BIN=0000101000010100
FC=3  REG=1043  RAW=256    BIN=0000000100000000
FC=3  REG=1044  RAW=2575   BIN=0000101000001111
FC=3  REG=1045  RAW=2354   BIN=0000100100110010
FC=3  REG=1046  RAW=3849   BIN=0000111100001001
FC=3  REG=1047  RAW=3840   BIN=0000111100000000
FC=3  REG=1048  RAW=256    BIN=0000000100000000
FC=3  REG=1049  RAW=65036  BIN=1111111000001100
FC=3  REG=1050  RAW=1100   BIN=0000010001001100
FC=3  REG=1051  RAW=65486  BIN=1111111111001110
FC=3  REG=1052  RAW=80     BIN=0000000001010000
FC=3  REG=1053  RAW=80     BIN=0000000001010000
FC=3  REG=1054  RAW=20     BIN=0000000000010100
FC=3  REG=1055  RAW=0      BIN=0000000000000000
FC=3  REG=1056  RAW=0      BIN=0000000000000000
FC=3  REG=1057  RAW=65036  BIN=1111111000001100
FC=3  REG=1058  RAW=1100   BIN=0000010001001100
FC=3  REG=1059  RAW=65136  BIN=1111111001110000
FC=3  REG=1060  RAW=1100   BIN=0000010001001100
FC=3  REG=1061  RAW=3      BIN=0000000000000011
FC=3  REG=1062  RAW=290    BIN=0000000100100010
FC=3  REG=1063  RAW=55127  BIN=1101011101010111
FC=3  REG=1064  RAW=54612  BIN=1101010101010100
FC=3  REG=1065  RAW=17735  BIN=0100010101000111
FC=3  REG=1066  RAW=7667   BIN=0001110111110011
FC=3  REG=1067  RAW=21717  BIN=0101010011010101
FC=3  REG=1068  RAW=30469  BIN=0111011100000101
FC=3  REG=1069  RAW=0      BIN=0000000000000000
FC=3  REG=1070  RAW=62549  BIN=1111010001010101
FC=3  REG=1071  RAW=21781  BIN=0101010100010101
FC=3  REG=1072  RAW=127    BIN=0000000001111111
FC=3  REG=1073  RAW=21767  BIN=0101010100000111
FC=3  REG=1074  RAW=64789  BIN=1111110100010101
FC=3  REG=1075  RAW=22784  BIN=0101100100000000
FC=3  REG=1076  RAW=20992  BIN=0101001000000000
FC=3  REG=1077  RAW=3841   BIN=0000111100000001
FC=3  REG=1536  RAW=290    BIN=0000000100100010
FC=3  REG=1537  RAW=1100   BIN=0000010001001100
FC=3  REG=1538  RAW=65036  BIN=1111111000001100
FC=3  REG=1539  RAW=0      BIN=0000000000000000
FC=3  REG=1540  RAW=1100   BIN=0000010001001100
FC=3  REG=1541  RAW=65136  BIN=1111111001110000
FC=3  REG=9472  RAW=0      BIN=0000000000000000
FC=3  REG=9473  RAW=5120   BIN=0001010000000000
FC=3  REG=9474  RAW=0      BIN=0000000000000000
FC=3  REG=9475  RAW=0      BIN=0000000000000000
FC=3  REG=9476  RAW=256    BIN=0000000100000000
FC=3  REG=9477  RAW=25650  BIN=0110010000110010
FC=3  REG=9478  RAW=15     BIN=0000000000001111
FC=3  REG=9479  RAW=7680   BIN=0001111000000000
FC=3  REG=9480  RAW=1551   BIN=0000011000001111
FC=3  REG=9481  RAW=0      BIN=0000000000000000
FC=3  REG=9482  RAW=7682   BIN=0001111000000010
FC=3  REG=9484  RAW=3072   BIN=0000110000000000
FC=3  REG=9486  RAW=3584   BIN=0000111000000000
FC=3  REG=9487  RAW=57855  BIN=1110000111111111
FC=3  REG=9488  RAW=60163  BIN=1110101100000011
FC=3  REG=9489  RAW=22528  BIN=0101100000000000
FC=3  REG=9490  RAW=25650  BIN=0110010000110010
FC=3  REG=9491  RAW=15     BIN=0000000000001111
FC=3  REG=9492  RAW=7680   BIN=0001111000000000
FC=3  REG=9493  RAW=1551   BIN=0000011000001111
FC=3  REG=9494  RAW=0      BIN=0000000000000000
FC=3  REG=9495  RAW=7682   BIN=0001111000000010
FC=3  REG=9496  RAW=10     BIN=0000000000001010
FC=3  REG=9497  RAW=60795  BIN=1110110101111011
FC=3  REG=9498  RAW=65086  BIN=1111111000111110
FC=3  REG=9499  RAW=20480  BIN=0101000000000000
FC=3  REG=9500  RAW=20480  BIN=0101000000000000
FC=3  REG=9501  RAW=5120   BIN=0001010000000000
FC=3  REG=9502  RAW=0      BIN=0000000000000000
FC=3  REG=9503  RAW=254    BIN=0000000011111110
FC=3  REG=9504  RAW=3076   BIN=0000110000000100
FC=3  REG=9505  RAW=19710  BIN=0100110011111110
FC=3  REG=9506  RAW=28676  BIN=0111000000000100
FC=3  REG=13312 RAW=20992  BIN=0101001000000000
FC=3  REG=13313 RAW=20992  BIN=0101001000000000
FC=3  REG=13314 RAW=20992  BIN=0101001000000000
FC=3  REG=13315 RAW=20992  BIN=0101001000000000
FC=3  REG=13316 RAW=20992  BIN=0101001000000000
FC=3  REG=13317 RAW=20992  BIN=0101001000000000
FC=3  REG=13318 RAW=20992  BIN=0101001000000000
FC=3  REG=13319 RAW=20992  BIN=0101001000000000
FC=3  REG=13320 RAW=20992  BIN=0101001000000000
FC=3  REG=13321 RAW=20992  BIN=0101001000000000
FC=3  REG=14336 RAW=1      BIN=0000000000000001
FC=3  REG=14337 RAW=1      BIN=0000000000000001
FC=3  REG=14338 RAW=1      BIN=0000000000000001
FC=3  REG=14339 RAW=1      BIN=0000000000000001
FC=3  REG=14340 RAW=1      BIN=0000000000000001
FC=3  REG=14341 RAW=1      BIN=0000000000000001
FC=3  REG=14342 RAW=1      BIN=0000000000000001
FC=3  REG=14343 RAW=1      BIN=0000000000000001
FC=3  REG=14344 RAW=1      BIN=0000000000000001
FC=3  REG=14345 RAW=1      BIN=0000000000000001
FC=3  REG=14346 RAW=1      BIN=0000000000000001
FC=3  REG=14347 RAW=1      BIN=0000000000000001
FC=3  REG=14348 RAW=1      BIN=0000000000000001
FC=3  REG=14349 RAW=1      BIN=0000000000000001
FC=3  REG=14350 RAW=1      BIN=0000000000000001
FC=3  REG=14351 RAW=1      BIN=0000000000000001
